	logFC	AveExpr	t	P.Value	adj.P.Val	B	change	
ZNF438	0.946233441	3.997408302	10.53962286	9.19E-07	0.010819706	5.899357529	Up
FCGR1BP	1.010885337	3.991282309	9.766601757	1.86E-06	0.010819706	5.340463946	Up
CYSTM1	1.582773284	4.610188068	9.605078091	2.17E-06	0.010819706	5.306119807	Up
IL1B	0.9792689	5.241061986	8.815895918	4.72E-06	0.013727273	4.64942208	Up
MAFB	0.921922316	5.311746357	8.70017613	5.32E-06	0.013727273	4.53366847	Up
SFMBT2	-0.705637038	4.933105417	-8.518845952	6.43E-06	0.013727273	4.328048297	Down
EOMES	-0.907026491	5.2941406	-8.185786556	9.17E-06	0.013727273	4.011679226	Down
ADGRG5	-1.073350917	5.536994604	-8.171337842	9.32E-06	0.013727273	4.004763603	Down
CHST12	-0.72736751	5.625917385	-8.114662316	9.91E-06	0.013727273	3.954265417	Down
IL2RB	-1.00770777	7.913293833	-8.14029245	9.63E-06	0.013727273	3.935790672	Down
CD300E	0.828846418	6.88942005	8.030295582	1.09E-05	0.013727273	3.85454578	Up
PRR5L	-0.773296903	5.627529836	-7.789729678	1.42E-05	0.013727273	3.613044767	Down
TLR5	1.141561208	4.334900521	7.77235617	1.45E-05	0.013727273	3.561897093	Up
ST3GAL4	0.780367355	4.715589655	7.688635568	1.59E-05	0.013727273	3.498503307	Up
ADGRG1	-1.259470822	7.485775908	-7.637187146	1.69E-05	0.013727273	3.43609865	Down
DHRS13	0.978429923	4.750824643	7.593319525	1.77E-05	0.013727273	3.398258737	Up
SYNE1	-0.86226995	7.816651287	-7.540159783	1.89E-05	0.013727273	3.317561859	Down
GNG10	0.901814542	5.511679709	7.505192515	1.96E-05	0.013727273	3.306782521	Up
SLC37A2	0.630441589	4.925633677	7.489313176	2.00E-05	0.013727273	3.283269955	Up
ARHGEF10L	0.659911967	4.398792587	7.489379125	2.00E-05	0.013727273	3.264817962	Up
KLF4	0.633630559	4.646414854	7.410744837	2.19E-05	0.013727273	3.18886247	Up
PAFAH2	-0.652201792	4.987181138	-7.38470667	2.26E-05	0.013727273	3.162438537	Down
DTHD1	-1.223362248	3.711639927	-7.560859558	1.84E-05	0.013727273	3.153286495	Down
SMAD7	-0.820394394	4.44916978	-7.372567258	2.29E-05	0.013727273	3.115015482	Down
TARP	-0.901227793	4.236648457	-7.404766109	2.21E-05	0.013727273	3.112810876	Down
FCGR1A	0.844301236	4.170872954	7.315089239	2.45E-05	0.01381124	3.069801997	Up
SEMA4C	-0.737359561	4.987323927	-7.271029422	2.58E-05	0.01381124	3.034726054	Down
SH2B2	1.023718929	4.788316625	7.236672351	2.69E-05	0.013888622	3.00103535	Up
ATP10A	-0.729733073	5.036114262	-7.191988577	2.84E-05	0.013892697	2.94778102	Down
PROK2	1.578323646	6.243899422	7.180207531	2.88E-05	0.013892697	2.937387571	Up
LILRA5	1.487172763	5.984546414	7.153759025	2.97E-05	0.013892697	2.908818198	Up
ID2	-0.7993173	6.286298486	-7.127303702	3.06E-05	0.013905215	2.878467624	Down
SPON2	-1.399931325	6.90592174	-7.05712449	3.33E-05	0.01468504	2.796518473	Down
CRIM1	-0.873664878	3.198159683	-7.277405713	2.56E-05	0.01381124	2.757920326	Down
DUSP3	0.571251291	5.09308369	6.8881481	4.09E-05	0.016615372	2.598426886	Stable
HOMER3	0.868767317	3.961456538	6.910219109	3.99E-05	0.016615372	2.598283061	Up
KREMEN1	1.494080765	4.769892136	6.829244709	4.40E-05	0.016615372	2.529066128	Up
ARL4C	-0.784289829	7.663026852	-6.81399698	4.49E-05	0.016615372	2.508563966	Down
SYTL2	-0.919852638	4.554301146	-6.781407501	4.67E-05	0.016615372	2.46090699	Down
KLRD1	-1.222334713	6.9290611	-6.750466558	4.85E-05	0.016615372	2.434810292	Down
GK5	-0.888417467	4.991228138	-6.733233996	4.96E-05	0.016615372	2.413504581	Down
SLC24A4	0.765489139	5.618843616	6.731963477	4.97E-05	0.016615372	2.408833738	Up
MYBL1	-0.950953518	5.256543481	-6.723113897	5.02E-05	0.016615372	2.40250615	Down
FUT7	1.148295892	4.972649032	6.71616419	5.07E-05	0.016615372	2.393160079	Up
TGFBR3	-1.031517775	5.459395893	-6.676405114	5.32E-05	0.016615372	2.346017593	Down
CCDC149	0.908427372	3.14295623	6.711119822	5.10E-05	0.016615372	2.273962968	Up
NLRC4	0.856621248	4.788370503	6.600901993	5.85E-05	0.016615372	2.254308131	Up
TMEM181	-0.788126372	5.534371376	-6.575283783	6.05E-05	0.016615372	2.22016728	Down
NQO2	0.846130527	4.587807898	6.566925966	6.11E-05	0.016615372	2.213589253	Up
CD1D	0.812664756	4.718558489	6.564017993	6.13E-05	0.016615372	2.210453835	Up
IRAG1	1.283219991	5.846858034	6.566610044	6.11E-05	0.016615372	2.20815145	Up
PRF1	-1.099662785	8.619342239	-6.564297962	6.13E-05	0.016615372	2.201495312	Down
GBP4	-0.681658207	5.885361504	-6.523774684	6.46E-05	0.016615372	2.15395448	Down
RUBCNL	0.736166021	5.879086125	6.519537759	6.49E-05	0.016615372	2.147439066	Up
ASGR1	0.794532518	2.88725135	6.637344145	5.59E-05	0.016615372	2.145051594	Up
NFATC2	-0.814379882	6.578627527	-6.513056608	6.54E-05	0.016615372	2.142732337	Down
KIAA1671	-0.762591763	3.477086193	-6.601323088	5.85E-05	0.016615372	2.131954231	Down
ITGB7	-0.573165046	7.147610957	-6.486981027	6.77E-05	0.016615372	2.114965191	Stable
ANXA3	1.465739663	4.518577996	6.423741178	7.34E-05	0.017222809	2.035236243	Up
TBX21	-0.994854441	6.454862897	-6.421506767	7.36E-05	0.017222809	2.027720672	Down
LMNB1	0.810023756	5.68147384	6.405343859	7.51E-05	0.017314265	2.003750518	Up
GNPTAB	-0.629818495	6.396869184	-6.368533156	7.88E-05	0.017709186	1.959606064	Down
MGST1	0.845806224	2.803103488	6.487630338	6.76E-05	0.016615372	1.957869015	Up
FCRL6	-1.044739611	5.671641212	-6.353029512	8.04E-05	0.017709186	1.944786318	Down
TMEM45B	0.996252681	2.322246404	6.55333645	6.22E-05	0.016615372	1.939679865	Up
SLAMF7	-0.787666072	6.288749008	-6.352939079	8.04E-05	0.017709186	1.939665624	Down
GBP5	-0.646771708	7.752514441	-6.302660112	8.58E-05	0.018246316	1.889074717	Down
PRR33	0.64697268	6.475132375	6.288903436	8.74E-05	0.018246316	1.861498771	Up
NPC1	-0.502172586	5.414677041	-6.28421658	8.79E-05	0.018246316	1.855036579	Stable
RUNX3	-0.718910902	7.897659473	-6.264944711	9.01E-05	0.018246316	1.842180928	Down
PLSCR1	0.905343502	4.825231288	6.268893765	8.97E-05	0.018246316	1.839111468	Up
GZMB	-1.172999188	6.347750363	-6.251188062	9.18E-05	0.018258199	1.812407494	Down
APBA2	-0.71773931	5.510964174	-6.244052701	9.26E-05	0.018258199	1.804277543	Down
PTCH1	-0.820588487	4.993531803	-6.224767869	9.50E-05	0.018482252	1.789753916	Down
SIDT1	-0.578372185	5.019502585	-6.199844236	9.82E-05	0.018673964	1.754933486	Stable
FCER1G	1.080682593	7.682760929	6.185282543	0.000100069	0.018673964	1.742515997	Up
S1PR5	-1.037914631	6.279902313	-6.182892875	0.000100384	0.018673964	1.723402651	Down
CD14	1.163463372	7.945594834	6.167676279	0.000102418	0.018673964	1.719951598	Up
PRKCQ	-0.689750639	5.252197375	-6.168888898	0.000102254	0.018673964	1.711469629	Down
SOCS3	1.414343869	5.198281943	6.156707177	0.000103912	0.018673964	1.691109775	Up
OSBPL5	-0.796792704	5.461756441	-6.150834179	0.000104721	0.018673964	1.687076881	Down
DOK4	0.862844462	2.369055176	6.287696616	8.75E-05	0.018246316	1.635170112	Up
NIBAN2	0.751345463	5.054371997	6.088512499	0.000113739	0.020029752	1.60404881	Up
GALK1	0.751933311	4.431066778	6.071552585	0.000116335	0.020029752	1.595739725	Up
PRKCH	-0.625570545	7.248446663	-6.071805159	0.000116296	0.020029752	1.590257795	Down
LINC00299	-1.142115508	2.382577002	-6.438407788	7.20E-05	0.017222809	1.573983653	Down
SMARCD3	0.699104097	4.572633119	6.0338879	0.000122332	0.020226012	1.543643613	Up
TNIK	-0.611088773	5.375271053	-6.016989844	0.00012513	0.020226012	1.510856805	Down
LINC00963	0.78948242	5.770077301	6.01978416	0.000124663	0.020226012	1.505616988	Up
BCL2A1	0.683301551	4.600348346	5.99321193	0.000129184	0.020226012	1.491808803	Up
ZNF831	-0.651663179	5.694596284	-6.001054177	0.000127832	0.020226012	1.484694683	Down
RELB	0.741362467	5.325212636	5.996463641	0.000128621	0.020226012	1.477632424	Up
PPCDC	0.734413491	4.818492357	5.983029574	0.000130963	0.020226012	1.471742608	Up
CD244	-0.482606622	5.743946706	-5.987813042	0.000130124	0.020226012	1.464942364	Stable
NAIPP2	0.610870013	4.587716787	5.97283915	0.00013277	0.020276088	1.456293039	Up
