fromNode	toNode	weight	string_score	cor_score	edge_type
ACTB	TNFRSF1A	0.462112962832184	0.569	0.515556481416092	between
ACTB	NGFR	0.222128126626553	0.488	0.355064063313277	between
ACTB	TGFB1	0.361848545522893	0.609	0.485424272761447	between
ACTB	MAPK14	0.424996284871725	0.657	0.540998142435863	between
ACTB	VASP	0.454866245373585	0.894	0.674433122686793	inner
ACTB	RAC2	0.375767886675038	0.775	0.575383943337519	between
ACTB	RAF1	0.312769881858529	0.591	0.451884940929264	between
ACTB	MAPK3	0.439828622655216	0.89	0.664914311327608	between
ACTB	IGF1R	0.367868230825801	0.644	0.5059341154129	between
ACTB	FCGR2A	0.447463451151167	0.485	0.466231725575583	inner
ACTB	PAK1	0.45813142293777	0.403	0.430565711468885	between
ACTB	GNAQ	0.353725467952116	0.44	0.396862733976058	inner
ACTB	GNAI2	0.454152989004825	0.403	0.428576494502413	inner
ACTB	TLN1	0.363296896532453	0.882	0.622648448266226	inner
ACTB	RAC1	0.421975657995303	0.86	0.640987828997651	between
ACTB	PIK3CD	0.438935944561567	0.409	0.423967972280783	inner
ACTB	HSPA1B	0.319161879671981	0.422	0.37058093983599	between
ACTB	IL1R1	0.349548388752626	0.459	0.404274194376313	between
ACTB	MAP3K5	0.354052649446567	0.488	0.421026324723283	between
ACTB	TGFBR2	0.353763007530404	0.513	0.433381503765202	between
ACTB	NFKB2	0.358376331813639	0.543	0.450688165906819	between
ACTB	SYK	0.430686682557861	0.548	0.489343341278931	inner
ACTB	RPS6KA1	0.459601814919044	0.553	0.506300907459522	between
ACTB	LYN	0.457166472519342	0.578	0.517583236259671	inner
ACTB	HSPA1A	0.462852564386487	0.594	0.528426282193244	between
ACTB	DDIT3	0.201611650527977	0.67	0.435805825263989	between
ACTB	MYD88	0.435726252750744	0.673	0.554363126375372	between
ACTB	GRB2	0.444994044505911	0.863	0.653997022252956	between
ACTB	RHOA	0.405059022551024	0.953	0.679029511275512	inner
ACTB	CDC42	0.238501465905601	0.953	0.5957507329528	between
APBB1IP	VASP	0.468104835386173	0.994	0.731052417693086	inner
APBB1IP	RAC2	0.457943627044914	0.633	0.545471813522457	between
APBB1IP	RAF1	0.429556431954069	0.631	0.530278215977035	between
APBB1IP	MAPK3	0.440524520199068	0.645	0.542762260099534	between
APBB1IP	FERMT3	0.443170756915435	0.847	0.645085378457718	inner
APBB1IP	CRK	0.438835367739241	0.697	0.56791768386962	between
APBB1IP	TLN1	0.406268060276981	0.997	0.70163403013849	inner
APBB1IP	SYK	0.425780150034429	0.732	0.578890075017214	inner
APBB1IP	ARRB2	0.441503662376118	0.528	0.484751831188059	between
APBB1IP	GRB2	0.436804504692735	0.714	0.575402252346368	between
ARRB2	MAPK14	0.409431521724658	0.928	0.668715760862329	between
ARRB2	RAF1	0.441783580249888	0.924	0.682891790124944	inner
ARRB2	MAPK3	0.428370132279356	0.995	0.711685066139678	between
ARRB2	IGF1R	0.423706994765805	0.755	0.589353497382902	inner
ARRB2	GNAQ	0.423637969480054	0.967	0.695318984740027	between
ARRB2	TLN1	0.362969825318559	0.526	0.444484912659279	between
ARRB2	RAC1	0.452239086578998	0.932	0.692119543289499	inner
ARRB2	MAP3K5	0.417224874191097	0.981	0.699112437095548	inner
ARRB2	CDC42	0.28720487548686	0.531	0.40910243774343	inner
ARRB2	RHOA	0.444383236774697	0.549	0.496691618387349	between
ARRB2	LYN	0.449135413805231	0.914	0.681567706902615	between
ARRB2	MAP2K4	0.449123122693906	0.995	0.722061561346953	inner
CACNA1E	RASGRP4	0.461922193333683	0.608	0.534961096666841	inner
